			Agency Manager	Agency Supervisor	Travel Agent	Agency Manager	Agency Supervisor	Travel Agent	Reservation Agent	Services Supervisor	Manager	Accounting
		FEATURE_KEY	Brand 1 - Apple Vacations	Brand 1 - Apple Vacations	Brand 1 - Apple Vacations	Brand 2 - Travel Impressions	Brand 2 - Travel Impressions	Brand 2 - Travel Impressions	Brand 0	Brand 0	Brand 0	Brand 0
Permission ID	Permission Description		1#TA	2#TA	3#TA	4#TA	5#TA	6#TA	7#RA	8#RA	9#RA	10#RA
1	Create new travel Agent	CREATE_NEW_TA	0	0	0	0	0	0	1	1	1	0
2	Retrieve Quote/Reservation by Booking ID only across all agencies	GET_QUOTE_BY_BOOKING_ID_ALL_AGENCIES	0	0	0	0	0	0	1	1	1	0
3	Retrieve Quote/Reservation by Booking ID only for all agents in agency	GET_QUOTE_BY_BOOKING_ID_WITHIN_AGENCY	1	1	0	1	1	0	1	1	1	1
4	Retrieve Agent's own Quote/Reservation by Booking ID only	GET_QUOTE_BY_BOOKING_ID_AGENTS_OWN	1	1	1	1	1	1	1	1	1	1
5	Use Advanced search to see any agency Quote/Reservation	ADVANCED_SEARCH_ANY_AGENCY	0	0	0	0	0	0	1	1	1	1
6	Use Advanced search to see Quote/Reservation within own agency	ADVANCED_SEARCH_WITHIN_AGENCY	1	1	0	1	1	0	1	1	1	1
7	Use Advanced search to Agent's own Quote/Reservation	ADVANCED_SEARCH_AGENTS_OWN	1	1	1	1	1	1	1	1	1	1
8	Search by IATA	SEARCH_BY_IATA	0	0	0	0	0	0	1	1	1	1
9	Create Booking	CREATE_BOOKING	1	1	1	1	1	1	1	1	1	1
10	Update Booking	UPDATE_BOOKING	1	1	0	1	1	0	1	1	1	1
11	Delete Booking	DELETE_BOOKING	0	0	0	0	0	0	1	1	1	1
12	Clone Booking	CLONE_BOOKING	1	1	1	1	1	1	1	1	1	1
13	Cancel Pre-Payment Booking	CANCEL_PRE_PAYMENT_BOOKING	1	1	1	1	1	1	1	1	1	1
14	Cancel Post-Payment Booking	CANCEL_POST_PAYMENT_BOOKING	0	0	0	0	0	0	1	1	1	1
15	Post-Booking Modifications	POST_BOOKING_MODIFICATIONS	0	0	0	0	0	0	1	1	1	1
16	Memos	MEMOS	0	0	0	0	0	0	1	1	1	1
17	Edit Option Expiration/Deposit Date - Hotel Only	EDIT_OED_DATE_HOTEL_ONLY	0	0	0	0	0	0	1	1	1	0
18	Edit Option Expiration/Deposit Date - Scheduled Air (PKG or Standalone)	EDIT_OED_DATE_SCHED_AIR	0	0	0	0	0	0	0	1	1	0
19	Edit Option Expiration/Deposit Date - Chartered Air (PKG or Standalone) (departure date > 45)	EDIT_OED_DATE_CHARTER_AIR_MORE_THAN_45_DAYS_AWAY	0	0	0	0	0	0	1	1	1	0
20	Edit Option Expiration/Deposit Date - Chartered Air (PKG or Standalone) (departure date < 45)	EDIT_OED_DATE_CHARTER_AIR_SOONER_THAN_45_DAYS_AWAY	0	0	0	0	0	0	0	1	1	0
21	Edit Traveler Info - Hotel Only Booking	EDIT_TRAVELER_INFO_HOTEL_ONLY	1	1	1	1	1	1	1	1	1	0
22	Edit Traveler Info - Charter Air (PKG or Standalone)	EDIT_TRAVELER_INFO_CHARTER_AIR	1	1	1	1	1	1	1	1	1	0
23	Edit Traveler Info - Scheduled Air (PKG or Standalone)	EDIT_TRAVELER_INFO_SCHED_AIR	1	1	1	1	1	1	1	1	1	0
24	Price Adjustment on Booking	PRICE_ADJUSTMENT_ON_BOOKING	0	0	0	0	0	0	1	1	1	0
25	Adding Fees to Booking	ADDING_FEES_TO_BOOKING	1	1	1	1	1	1	1	1	1	0
26	Agency Management	AGENCY_MANAGEMENT	1	0	0	1	0	0	0	0	0	0
27	Unlock User Accounts	UNLOCK_USER_ACCOUNTS	1	0	0	1	0	0	1	1	1	0
28	"Update User Profile (Name, Email, Phone)"	UPDATE_USER_PROFILE	1	0	1	1	0	1	1	1	1	0
29	Change Agency Information	CHANGE_AGENCY_INFORMATION	1	0	0	1	0	0	1	1	1	0
30	Process Refund	PROCESS_REFUND	0	0	0	0	0	0	0	0	0	1
31	Show the Sub-Header	SHOW_SUBHEADER	0	0	0	0	0	0	1	1	1	1
32	Adding a confirmation ID to a hotel booking	ADD_HOTEL_CONFIRMATION	0	0	0	0	0	0	1	1	1	1
33	View all agents across all agencies	VIEW_ALL_AGENTS	0	0	0	0	0	0	1	1	1	1
34	View Any Agency Information	VIEW_ANY_AGENCY_INFORMATION	0	0	0	0	0	0	1	1	1	1
35	Change Room Category after Check-In	CHANGE_ROOM_CATEGORY_AFTER_CHECKIN	0	0	0	0	0	0	1	1	1	0
36	Manually Adjust Trip Price to Add Brand Change Fees	ADD_BRAND_CHANGE_FEES	0	0	0	0	0	0	1	1	1	1
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
												
