Session 	Total Run Time	Spreadsheet Read Time 	Spreadsheet Rows	 Query1 Time 	Query Text	Candidates Found	 Bean Build Time	Query2 Time Average	Query2 Time Total	Match Time Average	Match Time Total	Result Save Time	
18136	3491	8	2999	9	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1016	0	3	9	2455	0	
18134	2845	28	2999	8	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1033	0	1	7	1775	0	
18158	173357	7	2999	110	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1478	192	143319	19	14350	14093	
18159	180676	7	2999	8	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1164	194	144945	20	15219	19333	
18138	2786	3	853	9	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1033	0	3	6	1738	0	
18139	139876	7	2999	9	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1619	460	114575	19	4916	18750	
18135	3364	12	2999	572	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1026	0	2	7	1752	0	
18152	72706	6	2999	9	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1157	343	51244	31	4623	15667	
18153	58553	7	2999	8	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1191	346	51691	21	3243	2413	
18150	68169	11	2999	9	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 792	74486	1271	345	51536	22	3355	11987	
