Session 	Total Run Time	Spreadsheet Read Time 	Spreadsheet Rows	 Query1 Time 	Query Text	Candidates Found	 Bean Build Time	Query2 Time Average	Query2 Time Total	Match Time Average	Match Time Total	Result Save Time	
18219	79274	62	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1486	347	70930	18	3734	3052	
18218	79871	74	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1564	345	70568	23	4788	2867	
18199	26584	195	4499	106	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	3163	72	14742	20	4122	4256	
18215	104360	70	4499	14	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1867	350	71422	19	3900	27087	
18214	95442	67	4499	89	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1560	354	72310	18	3864	17552	
18217	78329	66	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1540	347	70899	19	4050	1764	
18216	84514	72	4499	64	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1737	346	70739	25	5142	6760	
18211	80068	65	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1564	345	70508	16	3288	4633	
18210	24540	50	3646	12	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	2188	80	16394	11	2441	3455	
18213	104181	70	4499	10	 SELECT DISTINCT cc.candidate_id, cc.company_candidate_id, cc.first_name, cc.middle_name, cc.last_name, cc.email, cc.phone, cc.company_candidate_code  FROM company_candidates cc WITH(NOLOCK) WHERE cc.company_id = 1089	101634	1493	353	72055	24	4953	25600	
